Symptom Description,Disease
"shortness of breath, headache, nosebleeds, dizziness",Hypertension
"wheezing, coughing, chest tightness",Asthma
"frequent urination, blurred vision, fatigue, weight loss, increased thirst",Diabetes
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"congestion, mild fever, sneezing",Common Cold
"sweating, difficulty concentrating, restlessness, increased heart rate",Anxiety
"cough, chills, muscle aches",Flu
"chest tightness, wheezing, shortness of breath, coughing",Asthma
"shortness of breath, nosebleeds, headache, dizziness",Hypertension
"fatigue, night sweats, fever, coughing, weight loss",Tuberculosis
"fever, cough, chest pain",Pneumonia
"itchy eyes, sneezing, congestion, rash, runny nose",Allergy
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"fatigue, rash, loss of appetite, fever, itching",Chickenpox
"nosebleeds, dizziness, headache",Hypertension
"runny nose, mild fever, sore throat, congestion",Common Cold
"fever, fatigue, cough, chest pain",Pneumonia
"weight loss, blurred vision, increased thirst, frequent urination",Diabetes
"headache, nausea, vomiting, chills",Malaria
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"runny nose, cough, sore throat, sneezing",Common Cold
"dry cough, tiredness, difficulty breathing, loss of smell, fever, loss of taste",COVID-19
"loss of smell, difficulty breathing, fever, tiredness",COVID-19
"nausea, sweating, vomiting, headache, chills",Malaria
"dizziness, headache, shortness of breath, nosebleeds",Hypertension
"cough, congestion, sneezing, runny nose, sore throat, mild fever",Common Cold
"chest tightness, shortness of breath, coughing",Asthma
"headache, sensitivity to sound, nausea, sensitivity to light, vomiting",Migraine
"headache, sensitivity to sound, nausea, vomiting",Migraine
"vomiting, sweating, nausea, headache, fever",Malaria
"nausea, vomiting, sensitivity to sound, headache",Migraine
"sensitivity to light, nausea, headache",Migraine
"nausea, sweating, vomiting, headache, fever, chills",Malaria
"coughing, night sweats, weight loss, fever, fatigue",Tuberculosis
"fever, headache, cough, muscle aches",Flu
"muscle aches, cough, chills, fatigue, headache",Flu
"weight loss, fever, night sweats, coughing, fatigue",Tuberculosis
"fatigue, cough, fever",Pneumonia
"fever, nausea, chills",Malaria
"chest pain, fatigue, shortness of breath, cough, fever",Pneumonia
"changes in appetite, fatigue, insomnia, loss of interest, persistent sadness",Depression
"rash, itchy eyes, congestion, runny nose",Allergy
"fever, shortness of breath, cough, chest pain, fatigue",Pneumonia
"increased heart rate, difficulty concentrating, restlessness, nervousness, sweating",Anxiety
"tiredness, loss of smell, fever, difficulty breathing, dry cough",COVID-19
"cough, fatigue, chest pain",Pneumonia
"nervousness, increased heart rate, restlessness, sweating, difficulty concentrating",Anxiety
"mild fever, runny nose, sneezing, cough, sore throat, congestion",Common Cold
"night sweats, fatigue, coughing",Tuberculosis
"coughing, fatigue, night sweats, fever",Tuberculosis
"rash, itchy eyes, sneezing, runny nose",Allergy
"loss of appetite, fever, fatigue, itching, rash",Chickenpox
"sweating, restlessness, nervousness, increased heart rate",Anxiety
"nosebleeds, shortness of breath, headache, dizziness",Hypertension
"sweating, difficulty concentrating, increased heart rate, nervousness, restlessness",Anxiety
"weight loss, fever, coughing, fatigue, night sweats",Tuberculosis
"chest pain, shortness of breath, fever, fatigue",Pneumonia
"rash, loss of appetite, fatigue, itching",Chickenpox
"shortness of breath, nosebleeds, headache",Hypertension
"itchy eyes, runny nose, congestion",Allergy
"fatigue, shortness of breath, cough",Pneumonia
"nausea, sensitivity to sound, vomiting, headache",Migraine
"cough, runny nose, mild fever, sneezing, sore throat",Common Cold
"fatigue, fever, cough, chills",Flu
"increased thirst, fatigue, frequent urination, weight loss, blurred vision",Diabetes
"cough, slight fever, fatigue, shortness of breath",Bronchitis
"cough, chest pain, fatigue, fever",Pneumonia
"weight loss, night sweats, fever",Tuberculosis
"fatigue, fever, cough",Pneumonia
"blurred vision, frequent urination, weight loss, increased thirst, fatigue",Diabetes
"loss of taste, tiredness, dry cough, fever, loss of smell",COVID-19
"difficulty breathing, loss of smell, fever",COVID-19
"insomnia, persistent sadness, loss of interest, changes in appetite, fatigue",Depression
"fatigue, cough, fever",Pneumonia
"mild fever, sore throat, runny nose",Common Cold
"shortness of breath, coughing, wheezing",Asthma
"wheezing, coughing, chest tightness",Asthma
"insomnia, fatigue, loss of interest, persistent sadness",Depression
"fatigue, coughing, night sweats",Tuberculosis
"fatigue, coughing, night sweats",Tuberculosis
"fatigue, fever, loss of appetite, itching, rash",Chickenpox
"fever, fatigue, cough, shortness of breath, chest pain",Pneumonia
"weight loss, fatigue, night sweats",Tuberculosis
"fatigue, insomnia, changes in appetite, loss of interest",Depression
"persistent sadness, insomnia, fatigue",Depression
"nausea, vomiting, sensitivity to light",Migraine
"weight loss, blurred vision, frequent urination, fatigue, increased thirst",Diabetes
"night sweats, fatigue, weight loss",Tuberculosis
"blurred vision, frequent urination, fatigue, increased thirst, weight loss",Diabetes
"nausea, sweating, vomiting, headache, chills, fever",Malaria
"chest pain, shortness of breath, fever, cough",Pneumonia
"loss of interest, persistent sadness, insomnia, changes in appetite, fatigue",Depression
"cough, fatigue, headache, chills, fever",Flu
"increased heart rate, nervousness, restlessness, sweating, difficulty concentrating",Anxiety
"dry cough, tiredness, loss of taste, loss of smell, difficulty breathing",COVID-19
"fever, chest pain, cough, fatigue, shortness of breath",Pneumonia
"chills, fever, vomiting, headache, nausea",Malaria
"tiredness, loss of smell, fever",COVID-19
"loss of appetite, fever, itching, rash",Chickenpox
"shortness of breath, headache, nosebleeds",Hypertension
"sensitivity to sound, headache, vomiting, sensitivity to light",Migraine
"nosebleeds, shortness of breath, dizziness",Hypertension
"itchy eyes, congestion, runny nose, rash, sneezing",Allergy
"cough, fever, fatigue, chest pain",Pneumonia
"difficulty concentrating, increased heart rate, nervousness, sweating, restlessness",Anxiety
"itchy eyes, rash, sneezing, congestion, runny nose",Allergy
"chills, cough, fever, muscle aches",Flu
"fatigue, blurred vision, weight loss, frequent urination",Diabetes
"fever, chest pain, fatigue",Pneumonia
"headache, vomiting, sweating, nausea, chills",Malaria
"itchy eyes, congestion, rash, runny nose",Allergy
"sensitivity to sound, vomiting, sensitivity to light, headache",Migraine
"loss of appetite, rash, fever",Chickenpox
"fatigue, loss of appetite, rash, itching",Chickenpox
"nosebleeds, headache, dizziness, shortness of breath",Hypertension
"headache, shortness of breath, dizziness",Hypertension
"chills, fatigue, muscle aches, headache",Flu
"fever, sweating, nausea",Malaria
"loss of taste, loss of smell, difficulty breathing",COVID-19
"coughing, fatigue, night sweats",Tuberculosis
"shortness of breath, fever, fatigue",Pneumonia
"fatigue, shortness of breath, slight fever, cough, mucus",Bronchitis
"blurred vision, frequent urination, increased thirst, weight loss",Diabetes
"blurred vision, fatigue, weight loss, increased thirst",Diabetes
"fatigue, mucus, cough, slight fever",Bronchitis
"coughing, chest tightness, wheezing",Asthma
"weight loss, frequent urination, fatigue, blurred vision",Diabetes
"itching, fatigue, fever, rash, loss of appetite",Chickenpox
"fatigue, cough, chest pain, shortness of breath",Pneumonia
"loss of interest, insomnia, fatigue, changes in appetite, persistent sadness",Depression
"loss of taste, difficulty breathing, tiredness, dry cough, loss of smell, fever",COVID-19
"increased thirst, blurred vision, frequent urination, fatigue",Diabetes
"sneezing, cough, runny nose",Common Cold
"coughing, fever, weight loss, night sweats, fatigue",Tuberculosis
"rash, itching, fatigue, fever",Chickenpox
"muscle aches, fatigue, fever, cough, chills",Flu
"loss of interest, fatigue, persistent sadness, insomnia, changes in appetite",Depression
"shortness of breath, cough, fever, fatigue",Pneumonia
"difficulty concentrating, increased heart rate, restlessness, nervousness, sweating",Anxiety
"vomiting, nausea, headache, sensitivity to sound, sensitivity to light",Migraine
"sweating, vomiting, headache, fever, nausea",Malaria
"chest pain, fatigue, cough, shortness of breath",Pneumonia
"nosebleeds, dizziness, headache",Hypertension
"sensitivity to sound, vomiting, nausea, headache, sensitivity to light",Migraine
"insomnia, changes in appetite, loss of interest",Depression
"mucus, fatigue, shortness of breath",Bronchitis
"persistent sadness, insomnia, fatigue, loss of interest, changes in appetite",Depression
"sweating, nervousness, difficulty concentrating",Anxiety
"fever, loss of appetite, fatigue, itching",Chickenpox
"difficulty breathing, fever, loss of smell, loss of taste, dry cough, tiredness",COVID-19
"difficulty concentrating, sweating, nervousness",Anxiety
"fatigue, insomnia, loss of interest, persistent sadness, changes in appetite",Depression
"sneezing, runny nose, cough, sore throat",Common Cold
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"loss of interest, insomnia, changes in appetite, fatigue, persistent sadness",Depression
"vomiting, nausea, headache",Migraine
"sore throat, congestion, mild fever, cough, runny nose, sneezing",Common Cold
"fever, muscle aches, fatigue",Flu
"chest tightness, coughing, wheezing",Asthma
"nausea, headache, fever, vomiting",Malaria
"cough, sore throat, runny nose, mild fever, congestion, sneezing",Common Cold
"fever, vomiting, headache, chills",Malaria
"headache, shortness of breath, nosebleeds, dizziness",Hypertension
"congestion, runny nose, rash",Allergy
"mild fever, runny nose, sneezing, congestion",Common Cold
"sneezing, mild fever, runny nose",Common Cold
"vomiting, headache, sensitivity to light, sensitivity to sound",Migraine
"congestion, sneezing, sore throat",Common Cold
"fatigue, mucus, slight fever, shortness of breath, cough",Bronchitis
"vomiting, headache, nausea",Migraine
"vomiting, sensitivity to sound, headache, nausea",Migraine
"itching, loss of appetite, fever, fatigue, rash",Chickenpox
"rash, sneezing, itchy eyes, congestion",Allergy
"shortness of breath, mucus, fatigue, slight fever",Bronchitis
"runny nose, sore throat, congestion, mild fever, cough, sneezing",Common Cold
"nausea, sensitivity to light, vomiting, sensitivity to sound, headache",Migraine
"nervousness, restlessness, increased heart rate, difficulty concentrating",Anxiety
"nervousness, sweating, restlessness, increased heart rate, difficulty concentrating",Anxiety
"fever, cough, shortness of breath, fatigue, chest pain",Pneumonia
"congestion, rash, itchy eyes, sneezing",Allergy
"frequent urination, fatigue, increased thirst, weight loss",Diabetes
"congestion, sneezing, mild fever, cough, runny nose",Common Cold
"tiredness, difficulty breathing, dry cough, loss of smell, fever",COVID-19
"headache, cough, chills, fever, muscle aches, fatigue",Flu
"loss of appetite, rash, fatigue, itching",Chickenpox
"coughing, chest tightness, shortness of breath",Asthma
"fatigue, headache, chills",Flu
"persistent sadness, fatigue, loss of interest, insomnia",Depression
"fatigue, loss of appetite, rash, fever, itching",Chickenpox
"runny nose, congestion, rash, itchy eyes, sneezing",Allergy
"shortness of breath, wheezing, coughing",Asthma
"fatigue, chest pain, shortness of breath",Pneumonia
"fatigue, loss of interest, changes in appetite, insomnia, persistent sadness",Depression
"shortness of breath, headache, dizziness",Hypertension
"mucus, shortness of breath, fatigue",Bronchitis
"increased heart rate, restlessness, difficulty concentrating",Anxiety
"nausea, chills, headache, fever, sweating, vomiting",Malaria
"headache, nosebleeds, shortness of breath",Hypertension
"fatigue, itching, fever, rash, loss of appetite",Chickenpox
"headache, dizziness, nosebleeds, shortness of breath",Hypertension
"sore throat, cough, mild fever, congestion",Common Cold
"shortness of breath, wheezing, coughing, chest tightness",Asthma
"blurred vision, fatigue, weight loss, frequent urination, increased thirst",Diabetes
"coughing, fever, fatigue, weight loss, night sweats",Tuberculosis
"fever, cough, muscle aches",Flu
"chest tightness, coughing, wheezing, shortness of breath",Asthma
"cough, slight fever, fatigue, mucus",Bronchitis
"sensitivity to sound, headache, sensitivity to light",Migraine
"fatigue, chest pain, shortness of breath, fever, cough",Pneumonia
"sweating, fever, chills, vomiting, nausea",Malaria
"fatigue, weight loss, increased thirst, blurred vision",Diabetes
"sweating, increased heart rate, nervousness, restlessness",Anxiety
"dizziness, headache, nosebleeds, shortness of breath",Hypertension
"tiredness, fever, difficulty breathing, loss of smell, loss of taste, dry cough",COVID-19
"cough, fatigue, shortness of breath",Pneumonia
"restlessness, nervousness, increased heart rate, sweating, difficulty concentrating",Anxiety
"coughing, chest tightness, shortness of breath",Asthma
"headache, fever, nausea, sweating",Malaria
"wheezing, shortness of breath, coughing",Asthma
"night sweats, fever, coughing",Tuberculosis
"increased thirst, weight loss, frequent urination, fatigue, blurred vision",Diabetes
"muscle aches, headache, fever, cough",Flu
"shortness of breath, wheezing, chest tightness",Asthma
"shortness of breath, fatigue, chest pain",Pneumonia
"difficulty concentrating, restlessness, nervousness, increased heart rate",Anxiety
"fatigue, persistent sadness, insomnia, changes in appetite",Depression
"chills, fever, headache, muscle aches, cough",Flu
"increased heart rate, restlessness, difficulty concentrating",Anxiety
"fever, fatigue, muscle aches",Flu
"cough, fever, muscle aches, chills",Flu
"nervousness, sweating, restlessness",Anxiety
"cough, fatigue, shortness of breath, slight fever, mucus",Bronchitis
"sneezing, runny nose, congestion",Allergy
"sensitivity to sound, nausea, sensitivity to light",Migraine
"cough, fatigue, chest pain",Pneumonia
"weight loss, blurred vision, fatigue, frequent urination, increased thirst",Diabetes
"wheezing, chest tightness, coughing",Asthma
"sensitivity to light, vomiting, sensitivity to sound, nausea",Migraine
"loss of interest, insomnia, changes in appetite",Depression
"cough, fatigue, chills",Flu
"itching, fatigue, loss of appetite, fever, rash",Chickenpox
"chest pain, shortness of breath, fatigue, cough, fever",Pneumonia
"sweating, nervousness, difficulty concentrating, increased heart rate",Anxiety
"fatigue, frequent urination, weight loss, blurred vision",Diabetes
"dizziness, shortness of breath, nosebleeds, headache",Hypertension
"headache, nausea, sensitivity to sound",Migraine
"chills, fever, fatigue, cough, headache, muscle aches",Flu
"weight loss, fatigue, frequent urination",Diabetes
"chest tightness, shortness of breath, wheezing",Asthma
"itchy eyes, sneezing, congestion",Allergy
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"nausea, sweating, fever",Malaria
"cough, congestion, mild fever, sore throat",Common Cold
"shortness of breath, chest tightness, coughing",Asthma
"difficulty concentrating, increased heart rate, restlessness, sweating",Anxiety
"vomiting, sensitivity to sound, headache, nausea",Migraine
"cough, chest pain, fatigue, fever",Pneumonia
"headache, fever, vomiting",Malaria
"headache, sweating, nausea, fever, vomiting, chills",Malaria
"loss of smell, difficulty breathing, tiredness, loss of taste, dry cough, fever",COVID-19
"changes in appetite, insomnia, persistent sadness",Depression
"fever, weight loss, night sweats, coughing",Tuberculosis
"coughing, wheezing, chest tightness, shortness of breath",Asthma
"blurred vision, fatigue, frequent urination, weight loss, increased thirst",Diabetes
"blurred vision, frequent urination, increased thirst, fatigue, weight loss",Diabetes
"fatigue, fever, night sweats, weight loss, coughing",Tuberculosis
"fever, chest pain, cough, fatigue, shortness of breath",Pneumonia
"fatigue, shortness of breath, slight fever, cough",Bronchitis
"headache, fever, sweating, chills",Malaria
"loss of smell, difficulty breathing, fever, tiredness",COVID-19
"sensitivity to light, vomiting, headache, sensitivity to sound",Migraine
"fever, headache, vomiting, nausea",Malaria
"shortness of breath, fatigue, slight fever",Bronchitis
"sweating, increased heart rate, nervousness",Anxiety
"loss of interest, insomnia, fatigue, changes in appetite, persistent sadness",Depression
"nausea, chills, fever, sweating, vomiting",Malaria
"loss of taste, difficulty breathing, loss of smell, fever",COVID-19
"congestion, runny nose, cough, sneezing",Common Cold
"nosebleeds, dizziness, shortness of breath, headache",Hypertension
"fever, cough, muscle aches, chills, fatigue, headache",Flu
"nausea, headache, vomiting",Malaria
"loss of interest, fatigue, persistent sadness",Depression
"chest pain, shortness of breath, fever, cough, fatigue",Pneumonia
"rash, fever, loss of appetite, itching",Chickenpox
"itching, rash, loss of appetite, fatigue",Chickenpox
"vomiting, fever, chills, sweating, nausea, headache",Malaria
"sensitivity to light, headache, nausea, vomiting, sensitivity to sound",Migraine
"sensitivity to light, nausea, vomiting, headache",Migraine
"cough, runny nose, sore throat, congestion, mild fever, sneezing",Common Cold
"chills, cough, fever, muscle aches",Flu
"fatigue, loss of appetite, fever, rash, itching",Chickenpox
"fatigue, shortness of breath, mucus, cough",Bronchitis
"chills, headache, nausea",Malaria
"frequent urination, fatigue, blurred vision, weight loss",Diabetes
"frequent urination, blurred vision, weight loss, fatigue, increased thirst",Diabetes
"cough, congestion, sore throat, runny nose, sneezing",Common Cold
"sensitivity to sound, sensitivity to light, nausea, vomiting, headache",Migraine
"nausea, fever, sweating",Malaria
"cough, chest pain, shortness of breath, fatigue, fever",Pneumonia
"headache, sweating, nausea, chills, vomiting, fever",Malaria
"shortness of breath, fever, fatigue",Pneumonia
"nosebleeds, dizziness, shortness of breath",Hypertension
"cough, shortness of breath, mucus, fatigue",Bronchitis
"chest pain, fever, shortness of breath, cough",Pneumonia
"fatigue, fever, chest pain",Pneumonia
"cough, shortness of breath, fever",Pneumonia
"wheezing, coughing, shortness of breath",Asthma
"wheezing, shortness of breath, chest tightness, coughing",Asthma
"itching, loss of appetite, fatigue",Chickenpox
"changes in appetite, fatigue, persistent sadness, insomnia, loss of interest",Depression
"fatigue, fever, itching, rash, loss of appetite",Chickenpox
"fatigue, itching, rash",Chickenpox
"sore throat, cough, congestion, runny nose",Common Cold
"fatigue, loss of appetite, rash",Chickenpox
"coughing, fatigue, fever, night sweats",Tuberculosis
"sweating, nausea, chills, headache",Malaria
"increased heart rate, difficulty concentrating, restlessness",Anxiety
"restlessness, increased heart rate, sweating, difficulty concentrating, nervousness",Anxiety
"sweating, difficulty concentrating, restlessness, increased heart rate, nervousness",Anxiety
"fever, night sweats, fatigue, coughing, weight loss",Tuberculosis
"itching, rash, fatigue, fever, loss of appetite",Chickenpox
"loss of taste, fever, loss of smell, difficulty breathing, tiredness",COVID-19
"weight loss, night sweats, coughing, fatigue",Tuberculosis
"chills, fever, fatigue, headache, muscle aches",Flu
"nausea, headache, chills, vomiting, fever",Malaria
"vomiting, sensitivity to light, nausea",Migraine
"mild fever, sore throat, runny nose, sneezing, cough",Common Cold
"sore throat, runny nose, cough",Common Cold
"congestion, sneezing, runny nose",Allergy
"weight loss, frequent urination, fatigue, blurred vision",Diabetes
"headache, sensitivity to light, vomiting",Migraine
"chest tightness, wheezing, shortness of breath",Asthma
"nosebleeds, headache, dizziness",Hypertension
"fatigue, increased thirst, frequent urination, weight loss",Diabetes
"frequent urination, increased thirst, blurred vision, weight loss",Diabetes
"nausea, sensitivity to light, vomiting, headache",Migraine
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"dry cough, loss of smell, loss of taste, difficulty breathing, tiredness",COVID-19
"slight fever, cough, fatigue, shortness of breath",Bronchitis
"fever, night sweats, weight loss",Tuberculosis
"fever, itching, rash",Chickenpox
"itching, rash, fever, loss of appetite, fatigue",Chickenpox
"changes in appetite, insomnia, loss of interest",Depression
"fever, nausea, sweating, chills, headache, vomiting",Malaria
"difficulty breathing, tiredness, loss of taste, dry cough, loss of smell, fever",COVID-19
"insomnia, loss of interest, persistent sadness, fatigue, changes in appetite",Depression
"mucus, cough, shortness of breath, slight fever",Bronchitis
"slight fever, fatigue, shortness of breath, cough, mucus",Bronchitis
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"frequent urination, weight loss, blurred vision, fatigue, increased thirst",Diabetes
"rash, itchy eyes, sneezing",Allergy
"coughing, fever, night sweats, weight loss",Tuberculosis
"weight loss, blurred vision, frequent urination, fatigue",Diabetes
"sweating, restlessness, difficulty concentrating",Anxiety
"fever, fatigue, itching, loss of appetite, rash",Chickenpox
"fever, coughing, fatigue",Tuberculosis
"nosebleeds, headache, shortness of breath, dizziness",Hypertension
"headache, sensitivity to sound, sensitivity to light, nausea",Migraine
"sneezing, cough, congestion",Common Cold
"tiredness, fever, loss of taste, loss of smell, dry cough",COVID-19
"vomiting, fever, sweating, headache",Malaria
"difficulty breathing, fever, loss of taste, tiredness, dry cough",COVID-19
"fever, fatigue, loss of appetite",Chickenpox
"fever, weight loss, coughing",Tuberculosis
"shortness of breath, chest tightness, wheezing",Asthma
"shortness of breath, chest pain, fever, cough",Pneumonia
"sensitivity to sound, headache, vomiting",Migraine
"shortness of breath, cough, mucus, slight fever, fatigue",Bronchitis
"wheezing, shortness of breath, coughing",Asthma
"headache, chills, fever, muscle aches",Flu
"coughing, chest tightness, shortness of breath, wheezing",Asthma
"shortness of breath, fatigue, cough",Bronchitis
"fever, difficulty breathing, loss of taste, dry cough",COVID-19
"weight loss, coughing, fever, fatigue",Tuberculosis
"vomiting, sensitivity to light, headache, sensitivity to sound",Migraine
"fatigue, fever, loss of appetite",Chickenpox
"insomnia, fatigue, changes in appetite",Depression
"changes in appetite, persistent sadness, insomnia, fatigue, loss of interest",Depression
"cough, fatigue, shortness of breath, mucus",Bronchitis
"coughing, shortness of breath, wheezing",Asthma
"fatigue, shortness of breath, slight fever",Bronchitis
"headache, shortness of breath, dizziness, nosebleeds",Hypertension
"congestion, rash, sneezing, itchy eyes",Allergy
"vomiting, fever, headache",Malaria
"weight loss, fatigue, blurred vision, increased thirst",Diabetes
"sensitivity to sound, vomiting, sensitivity to light, headache, nausea",Migraine
"cough, fatigue, shortness of breath",Bronchitis
"fatigue, loss of appetite, fever, itching",Chickenpox
"fever, cough, headache, chills",Flu
"cough, shortness of breath, fatigue, mucus, slight fever",Bronchitis
"cough, fatigue, shortness of breath",Bronchitis
"increased heart rate, restlessness, difficulty concentrating",Anxiety
"fever, chills, muscle aches, fatigue",Flu
"cough, sore throat, congestion, sneezing, mild fever, runny nose",Common Cold
"insomnia, fatigue, loss of interest, persistent sadness",Depression
"nosebleeds, dizziness, headache",Hypertension
"shortness of breath, slight fever, mucus",Bronchitis
"weight loss, coughing, night sweats, fever",Tuberculosis
"difficulty concentrating, increased heart rate, sweating, restlessness, nervousness",Anxiety
"headache, chills, nausea, fever, sweating, vomiting",Malaria
"fatigue, chest pain, fever",Pneumonia
"nervousness, restlessness, difficulty concentrating",Anxiety
"vomiting, fever, chills, headache",Malaria
"frequent urination, blurred vision, weight loss, increased thirst",Diabetes
"dizziness, headache, shortness of breath",Hypertension
"headache, sensitivity to sound, sensitivity to light, vomiting",Migraine
"fatigue, rash, fever, loss of appetite, itching",Chickenpox
"mucus, shortness of breath, cough, slight fever, fatigue",Bronchitis
"cough, slight fever, mucus, shortness of breath, fatigue",Bronchitis
"fever, sweating, nausea",Malaria
"nausea, headache, sweating, vomiting",Malaria
"chills, vomiting, fever, sweating",Malaria
"sneezing, congestion, runny nose",Allergy
"tiredness, difficulty breathing, loss of taste, loss of smell",COVID-19
"fever, loss of smell, difficulty breathing",COVID-19
"slight fever, fatigue, cough, mucus",Bronchitis
"sore throat, cough, mild fever",Common Cold
"blurred vision, fatigue, increased thirst, frequent urination",Diabetes
"shortness of breath, chest pain, fever, cough, fatigue",Pneumonia
"blurred vision, increased thirst, weight loss, fatigue",Diabetes
"sneezing, mild fever, sore throat, congestion, runny nose, cough",Common Cold
"itching, fever, rash",Chickenpox
"fever, loss of appetite, fatigue, rash, itching",Chickenpox
"nausea, headache, sensitivity to light, vomiting, sensitivity to sound",Migraine
"chest tightness, coughing, wheezing, shortness of breath",Asthma
"frequent urination, fatigue, weight loss, blurred vision, increased thirst",Diabetes
"fatigue, coughing, weight loss",Tuberculosis
"headache, fever, nausea",Malaria
"fatigue, coughing, night sweats, fever",Tuberculosis
"coughing, chest tightness, wheezing, shortness of breath",Asthma
"slight fever, cough, mucus",Bronchitis
"itchy eyes, rash, runny nose, sneezing, congestion",Allergy
"sneezing, cough, sore throat",Common Cold
"slight fever, shortness of breath, cough, mucus",Bronchitis
"chest pain, shortness of breath, fatigue, fever, cough",Pneumonia
"itchy eyes, congestion, sneezing",Allergy
"itchy eyes, sneezing, congestion, rash",Allergy
"congestion, sneezing, mild fever",Common Cold
"fatigue, changes in appetite, loss of interest, insomnia, persistent sadness",Depression
"congestion, sneezing, itchy eyes",Allergy
"shortness of breath, chest tightness, coughing",Asthma
"itching, fatigue, loss of appetite, rash, fever",Chickenpox
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"wheezing, chest tightness, shortness of breath",Asthma
"fatigue, persistent sadness, changes in appetite, insomnia, loss of interest",Depression
"muscle aches, fatigue, headache",Flu
"frequent urination, blurred vision, fatigue, weight loss",Diabetes
"slight fever, mucus, shortness of breath",Bronchitis
"increased heart rate, nervousness, restlessness, difficulty concentrating",Anxiety
"shortness of breath, dizziness, nosebleeds, headache",Hypertension
"loss of appetite, fever, fatigue, rash",Chickenpox
"frequent urination, blurred vision, weight loss",Diabetes
"fever, sweating, chills",Malaria
"headache, nosebleeds, shortness of breath",Hypertension
"wheezing, coughing, shortness of breath, chest tightness",Asthma
"insomnia, persistent sadness, fatigue, changes in appetite, loss of interest",Depression
"mild fever, sore throat, cough, congestion, sneezing",Common Cold
"itchy eyes, congestion, rash, sneezing, runny nose",Allergy
"chills, vomiting, nausea, headache, fever",Malaria
"fatigue, shortness of breath, chest pain",Pneumonia
"chills, cough, muscle aches, headache, fever, fatigue",Flu
"sneezing, congestion, itchy eyes",Allergy
"nosebleeds, dizziness, shortness of breath, headache",Hypertension
"headache, sweating, vomiting, fever, nausea, chills",Malaria
"dizziness, shortness of breath, nosebleeds",Hypertension
"chills, sweating, headache, vomiting, nausea, fever",Malaria
"mild fever, congestion, runny nose, cough, sore throat",Common Cold
"weight loss, increased thirst, frequent urination, fatigue",Diabetes
"rash, fever, fatigue, loss of appetite, itching",Chickenpox
"fatigue, weight loss, frequent urination, blurred vision",Diabetes
"sneezing, rash, congestion, runny nose, itchy eyes",Allergy
"chills, fever, headache",Flu
"shortness of breath, chest tightness, wheezing, coughing",Asthma
"fatigue, changes in appetite, loss of interest",Depression
"fatigue, weight loss, fever, night sweats",Tuberculosis
"shortness of breath, chest tightness, wheezing",Asthma
"dizziness, shortness of breath, headache",Hypertension
"cough, fatigue, chills, muscle aches, fever, headache",Flu
"mucus, shortness of breath, fatigue",Bronchitis
"weight loss, increased thirst, frequent urination, fatigue",Diabetes
"loss of taste, fever, tiredness",COVID-19
"chest pain, fatigue, shortness of breath, cough, fever",Pneumonia
"restlessness, nervousness, difficulty concentrating, increased heart rate, sweating",Anxiety
"fever, night sweats, fatigue, coughing",Tuberculosis
"loss of taste, difficulty breathing, fever, loss of smell",COVID-19
"rash, congestion, itchy eyes, sneezing, runny nose",Allergy
"blurred vision, frequent urination, weight loss",Diabetes
"fatigue, fever, chest pain, shortness of breath, cough",Pneumonia
"wheezing, coughing, chest tightness, shortness of breath",Asthma
"changes in appetite, persistent sadness, loss of interest, fatigue",Depression
"sensitivity to light, nausea, headache, vomiting, sensitivity to sound",Migraine
"muscle aches, cough, fever, headache, chills, fatigue",Flu
"cough, fatigue, shortness of breath",Bronchitis
"fever, cough, shortness of breath",Pneumonia
"sweating, nervousness, restlessness",Anxiety
"fatigue, cough, mucus, slight fever",Bronchitis
"vomiting, nausea, chills",Malaria
"congestion, rash, itchy eyes, runny nose",Allergy
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"weight loss, fatigue, coughing, fever, night sweats",Tuberculosis
"rash, runny nose, itchy eyes, congestion, sneezing",Allergy
"vomiting, sweating, headache, fever, chills, nausea",Malaria
"loss of interest, changes in appetite, fatigue",Depression
"fatigue, shortness of breath, chest pain, fever",Pneumonia
"fatigue, fever, night sweats",Tuberculosis
"nausea, headache, fever, sweating, chills, vomiting",Malaria
"chest pain, shortness of breath, cough, fever, fatigue",Pneumonia
"mucus, fatigue, shortness of breath, slight fever",Bronchitis
"nausea, sweating, vomiting, fever, chills",Malaria
"fever, cough, chills, fatigue, headache, muscle aches",Flu
"chest tightness, wheezing, shortness of breath, coughing",Asthma
"fever, chills, headache, nausea, vomiting",Malaria
"nosebleeds, dizziness, shortness of breath, headache",Hypertension
"nausea, headache, sweating",Malaria
"shortness of breath, wheezing, chest tightness, coughing",Asthma
"loss of taste, difficulty breathing, fever, tiredness, dry cough, loss of smell",COVID-19
"wheezing, coughing, chest tightness",Asthma
"dry cough, loss of smell, loss of taste",COVID-19
"runny nose, sneezing, rash, congestion",Allergy
"mild fever, sore throat, cough, runny nose",Common Cold
